46	バーンスタイン	Bernstein	ウェストサイド物語より「トゥナイト」	Tonight from West Side Story	手書き	F.O.	×	スコアなし											
47	バーンスタイン	Bernstein	ウェストサイド物語より「マリア」	Maria from West Side Story	手書き	F.O.	×	スコアなし		すこあBreitkopf									
48	ビゼー	Bizet	カルメン第1組曲	Carmen Orchestra suite No1	Baerenreiter	F.O.	○			Boosey & Hawkesも混ざっている									
49	ビゼー	Bizet	カルメン第2組曲	Carmen Orchestra suite No2	Baerenreiter	F.O.	×	"スコア、Vn1,2、Vc、Cbなし"	日吉										
50	ビゼー	Bizet	アルルの女第1組曲	L'Arlesienne Orchestra suite No1	Baerenreiter	F.O.	○												
51	ビゼー	Bizet	アルルの女第2組曲	L'Arlesienne Orchestra suite No2	Breitkopf&Haertels	F.O.	○												
52	ブラームス	Brahms	交響曲第2番	Symphony No.2	Baerenreiter	F.O.	○												
53	ブラームス	Brahms	交響曲第3番	Symphony No.3 	Breitkopf&Haertels	F.O.	○		日吉										
54	ブラームス	Brahms	悲劇的序曲	Tragische Ouverture	Breitkopf&Haertels	F.O.	○			Fg2(CFg)スコア切り貼り									
55	ブラームス	Brahms	ハンガリー舞曲第1番	Hungarian Dance No.1	Breitkopf&Haertels	F.O.	○												
56	ブラームス	Brahms	ハンガリー舞曲第5番	Hungarian Dance No.5		F.O.	×	スコアのみ											
57	ブラームス	Brahms	ハンガリー舞曲第6番	Hungarian Dance No.6	Breitkopf&Haertels	F.O.	○												
58	ブラームス	Brahms	ハンガリー舞曲第7番	Hungarian Dance No.7	Breitkopf&Haertels	F.O.	×	Picc、CFgなし											
59	ブリテン	Britten	青少年のための管弦楽入門			F.O.	×	スコアのみ											
60	ブルッフ	Bruch	スコットランド幻想曲	Fantasie	Kalmus	F.O.	×	"Fg1,2なし"											
61	ブルックナー	Bruckner	交響曲第4番「ロマンティック」	Symphony No.4	Breitkopf&Haertels	F.O.	×	スコアなし											
62	ブルックナー	Bruckner	交響曲第7番	Symphony No.7	Verlag	F.O.	×	スコアなし											
63	ブルックナー	Bruckner	交響曲第8番	Symphony No.8	Verlag	F.O.	○												
64	バルトーク	Bartok	管弦楽のための協奏曲	Concert for orchestra		F.O.	×	"スコアp28,70なし"											
65	ブラームス	Brahms	交響曲第4番	Symphony No.4	Breitkopf&Haertels	F.O.	○												
66	ブラームス	Brahms	ハイドンの主題による変奏曲	Haydn Variationen		F.O.													
67	ボロディン	Borodin	序曲「イーゴリ公」	"""Prince Igor"" Overture"		F.O.													
68	ボロディン	Borodin	交響曲第2番	Symphony No.2		F.O.			日吉										
69	ベートーヴェン	Beethoven	交響曲第7番	Symphony No.7		F.O.													
70	ブラームス（シェーンベルク編）	Brahms	ピアノ４重奏第１番			F.O.													
71	シャブリエ	Chabrier	スペイン狂詩曲	Rapsodie Espana	Hampton	F.O.	○												
72	ショパン	Chopin	ピアノ協奏曲第1番	Piano Concert No.1	Breitkopf&Haertels	F.O.	○												
73	コレルリ	Corelli	クリスマス協奏曲	Christmas Concert	Peters	Strings	○		日吉										
74	ドビュッシー	Debussy	小組曲	Petite　Suite	Durand＆Cie	F.O.	○												
75	ドリーブ	Delibeｓ	コッペリア―ワルツ	Coppelia―Valse	不明	F.O.	○												
76	デュカス	Ducas	ファンファーレ	Fanfare	Durand＆Cie	Brass	○												
77	ドリーブ	Delibes	舞踏組曲「シルビア」	Sylvia	Kalmus	F.O.	○												
78	ドボルザーク	Dvorak	交響曲第7番	Symphony No.7	Kalmus	F.O.	×	スコアなし											
79	ドボルザーク	Dvorak	交響曲第8番	Symphony No.8	Supraphon	F.O.	×	スコアのみ											
80	ドボルザーク	Dvorak	交響曲第9番	Symphony No.9	Kalmus	F.O.	×	"score,Tp1-3,Trb1-3,BTrb"											
81	ドボルザーク	Dvorak	交響曲第9番	Symphony No.9	Breitkopf&Haertels	F.O.	×	"score,Triangle,Cymb."											
82	ドボルザーク	Dvorak	バイオリン協奏曲	Concerto per Violino	Statni hakladotelstvi	F.O.	○												
83	ドボルザーク	Dvorak	チェロ協奏曲	Concert fuer Violoncell	Kalmus	F.O.	○												
84	ドボルザーク	Dvorak	チェロ協奏曲		Kalmus	F.O.	○												
85	ドボルザーク	Dvorak	スタバト・マーテル	Stabat Mater	不明	F.O.	×	弦のみ											
86	ドボルザーク	Dvorak	管楽セレナーデ	Serenade	Musica Rora	F.O.	×	スコアなし											
87	ドボルザーク	Dvorak	スラブ舞曲	Slavonic Dances no.1〜4 Op.46	Kalmus	F.O.	×	１番のみA4型スコア有											
88	ドボルザーク	Dvorak	スラブ舞曲	Slavonic Dances Op.72	Kalmus	F.O.	×	スコアなし											
89	ドボルザーク	Dvorak	スラブ舞曲	"Slavonic Dances Op.46 1,2"	Carl Fischer	F.O.	×	弦５部のみ											
90	ドボルザーク	Dvorak	「謝肉祭」序曲	Karneval Ouvertuere	Supraphon	F.O.	○												
91	ドボルザーク	Dvorak	スラブ舞曲	Slavonic Dance No.8	不明	F.O.	×	Fl2											
92	エルガー	Elgar	威風堂々	Pomp and Circumstance	Kalmus	F.O.	×	スコアなし											
93	エルガー	Elgar	弦楽セレナーデ	Serenade for String Orchestra Op.20	Broude Brothers	F.O.	○												
94	エルガー	Elgar	エニグマ変奏曲	"""Enigma"""		F.O.	×	スコアなし											
95	エルガー	Elgar	序曲「コケイン」			F.O.													
96	ファリャ	Falla	三角帽子	The Three Cornered Hat	J&W Chester	F.O.	○												
97	フランク	Franck	ニ短調交響曲	Symphony in D minor	Hawkes & Son	F.O.	○												
98	フシーク	Fucik	凱旋行進曲	Einzug der Gladiatoren-Triumph March	Kalmus	F.O.	×	スコア、Timpなし											
99	ガーシュイン	Gershwin	パリのアメリカ人	An American in Paris	不明	F.O.	○												
100	ガーシュイン	Gershwin	ポーギーとベス抜粋	Porgy & Bess(selection/Summer Time)	不明	F.O.	×	スコア（Summer timeのみ）											
101	グリンカ	Glinka	ルスランとリュドミラ序曲	Russlan and Ludmilla Overture	Kalmus	F.O.	○												
102	グノー	Gounod	ファウスト	"Ballet Music from Gounod's ""Faust"""	不明	F.O.	○	もし使う場合は買い替え必要											
103	グラズノフ	Glazounow	バレエの情景	Scenes du Ballet	Kalmus	F.O.	○												
104	グリーグ	Grieg	ペール・ギュント第二組曲	Peer Gynt Suite II	Kalmus	F.O.	×	スコアはピアノスコアのみ											
105	グリーグ	Grieg	ノルウェー舞曲	Norwegische Tanze I-IV	Kalmus	F.O.	×	スコア、Hr１、Trp２、Timp											
106	グリーグ	Grieg	ホルベルグ組曲	Suite im atten style (Aus Holberg's zeit)	Kalmus	F.O.	○												
107	グールド	Gould	アメリカンシンフォニエッタ２番よりパヴァーヌ	Pavanne from American Symphonette No2 2mvt	Mills	F.O.	×	E.H.なし											
108	ヘンデル	Handel	水上の音楽	Wassermusik(F-dur)	Breitkopf&Haertels	F.O.	×	スコア、Timpなし											
109	ヘンデル	Handel	合奏協奏曲	"Concerti Grossi Op.6,Op.10"	Broude Brothers	F.O.	○												
110	ハイドン	Haydn	交響曲第44番「悲しみ」	Symphony No.44	Doblinger	F.O.	×	スコアなし											
